Area code,Area name,Time period,Value (score out of 10),Confidence interval lower,Confidence interval upper
E07000088,Gosport,2022-23,7.67,7.16,8.18
E07000089,Hart,2022-23,7.46,6.98,7.93
E07000090,Havant,2022-23,7.77,7.26,8.28
E07000091,New Forest,2022-23,7.49,7.16,7.81
E07000092,Rushmoor,2022-23,6.98,5.98,7.97
E07000093,Test Valley,2022-23,7.47,6.82,8.12
E07000094,Winchester,2022-23,7.2,6.79,7.61
E07000095,Broxbourne,2022-23,7.21,6.56,7.85
E07000096,Dacorum,2022-23,7.71,7.28,8.14
E07000098,Hertsmere,2022-23,6.9,5.88,7.93
E07000099,North Hertfordshire,2022-23,7.59,7.21,7.96
E07000102,Three Rivers,2022-23,7.04,5.67,8.41
E07000103,Watford,2022-23,6.93,6.38,7.48
E07000105,Ashford,2022-23,7.57,7.18,7.96
E07000106,Canterbury,2022-23,7.37,6.97,7.77
E07000107,Dartford,2022-23,7.64,6.93,8.35
E07000108,Dover,2022-23,7.34,6.94,7.75
E07000109,Gravesham,2022-23,7.41,6.71,8.1
E07000110,Maidstone,2022-23,7.57,7.21,7.92
E07000111,Sevenoaks,2022-23,7.89,7.48,8.29
E07000112,Folkestone and Hythe,2022-23,7.79,6.89,8.69
E07000113,Swale,2022-23,7.75,7.35,8.15
E07000114,Thanet,2022-23,7.69,7.33,8.04
E07000115,Tonbridge and Malling,2022-23,7.57,7.18,7.97
E07000116,Tunbridge Wells,2022-23,7.43,7.05,7.81
E07000118,Chorley,2022-23,7.17,6.55,7.79
E07000119,Fylde,2022-23,7.61,7.2,8.02
E07000120,Hyndburn,2022-23,7.33,6.61,8.06
E07000121,Lancaster,2022-23,7.78,7.35,8.21
E07000122,Pendle,2022-23,8.06,6.94,9.19
E07000123,Preston,2022-23,7.79,6.99,8.59
E07000124,Ribble Valley,2022-23,7.59,6.96,8.22
E07000125,Rossendale,2022-23,7.09,6.39,7.8
E07000126,South Ribble,2022-23,7.51,7.06,7.95
