geo_label,geo_code,2023
East of England,E12000006,24
Yorkshire and The Humber,E12000003,21
South East,E12000008,45
East Midlands,E12000004,22
London,E12000007,48
South West,E12000009,26
West Midlands,E12000005,28
North West,E12000002,31
North East,E12000001,11
